状態,棋士番号,棋士名,段位,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,引退日,タイトル保持者
物故,163,小野敦生,六段,,,,,,,,,
現役,164,日浦市郎,八段,1966-03-04,1984-04-04,1988-06-22,1993-01-27,1999-10-05,2010-04-16,,,
物故,165,達正光,七段,,,,,,,,,
引退,166,伊藤博文,七段,,,,,,,,,
引退,167,小林宏,七段,,,,,,,,,
現役,168,富岡英作,九段,1964-05-19,1984-12-18,1986-04-01,1988-04-01,1992-04-01,2002-12-20,2024-04-01,,
物故,169,関浩,七段,,,,,,,,,
引退,170,本間博,七段,,,,,,,,,
現役,171,阿部隆,九段,1967-08-25,1985-06-10,1989-08-11,1992-11-16,1997-06-06,2005-02-03,2020-07-15,,
現役,172,所司和晴,七段,1961-10-23,1985-06-27,1987-04-01,1992-10-29,2005-04-27,,,,
物故,173,中田宏樹,九段,,,,,,,,,
引退,174,安西勝一,七段,,,,,,,,,
現役,175,羽生善治,九段,1970-09-27,1985-12-18,1988-04-01,1989-10-01,1990-10-01,1993-04-01,1994-04-01,,4
現役,176,中田功,八段,1967-07-27,1986-04-30,1990-03-06,1998-08-07,2005-10-11,2019-01-21,,,
引退,177,石川陽生,七段,1963-03-05,1986-05-14,,,,,,,
引退,178,長沼洋,八段,1965-02-08,1986-07-21,,,,,,,
現役,179,神崎健二,八段,1963-12-08,1986-11-05,1990-04-24,1994-05-24,2001-05-29,2016-08-15,,,
物故,180,村山聖,九段,1969-06-15,1986-11-05,,,,,,,
引退,181,櫛田陽一,七段,1964-12-09,1987-03-05,,,,,,,
現役,182,佐藤康光,九段,1969-10-01,1987-03-25,1989-04-01,1992-03-25,1993-10-01,1996-04-01,1998-06-18,,5
現役,183,森内俊之,九段,1970-10-10,1987-05-13,1990-06-02,1992-04-01,1994-04-01,1995-04-01,2002-05-17,,6
現役,184,中川大輔,八段,1968-07-13,1987-10-19,1990-11-27,1994-06-28,2000-10-20,2009-12-11,,,
現役,185,先崎学,九段,1970-06-22,1987-10-19,1990-10-08,1994-06-08,1999-04-01,2000-04-01,2014-04-01,,
引退,186,野田敬三,七段,1958-01-24,1988-04-01,,,,,,,
引退,187,木下浩一,七段,1967-08-29,1988-04-01,,,,,,,
現役,188,小倉久史,八段,1968-05-15,1988-10-01,1992-10-28,1998-05-20,2005-10-24,2022-04-01,,,
現役,189,屋敷伸之,九段,1972-01-18,1988-10-01,1990-04-01,1991-04-01,1996-03-08,2002-05-13,2004-04-01,,
現役,190,藤原直哉,七段,1965-05-27,1989-04-01,1994-11-10,2001-07-24,2013-06-19,,,,
引退,191,高田尚平,七段,1962-06-21,1989-04-01,,,,,,,
現役,192,畠山鎮,八段,1969-06-03,1989-10-01,1993-12-24,1999-04-27,2006-04-01,2019-09-12,,,
現役,193,畠山成幸,八段,1969-06-03,1989-10-01,1993-04-01,1996-04-01,2003-05-19,2017-03-08,,,
現役,194,丸山忠久,九段,1970-09-05,1990-04-01,1992-04-01,1995-04-01,1997-04-01,1998-04-01,2000-06-28,,
